"Virtual Machine","Status","Source","Replication Server","Protection Group","Configured Disks","Auto-replicate New Disks","Managed By","Quiescing","Network Compression","Encryption","DataSets replication","Datastore","Storage Policy","Last Instance Sync Point","Last Sync Duration","Last Sync Size","Lag Time","RPO","Current RPO Violation","Points In Time"
"ALLO-CTL","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 18, 2026","29 seconds","649.58 MB","3 hours, 23 minutes and 43 seconds","8 hours","0 seconds","Disabled"
"ALLO-DB","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 18, 2026","1 minute and 24 seconds","1.54 MB","1 minute and 28 seconds","5 minutes","0 seconds","Disabled"
"ALLO-DB-CACHE","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 18, 2026","59 seconds","128 KB","1 minute and 3 seconds","5 minutes","0 seconds","Disabled"
"ALLO-ELK","OK","192.168.191.26","FDS-VREP-RMP-26","","3 of 3","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 18, 2026","32 minutes and 6 seconds","31.03 GB","4 hours, 20 minutes and 9 seconds","8 hours","0 seconds","Disabled"
"ALLO-IBB-ADM","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 18, 2026","1 minute and 44 seconds","4.43 MB","1 hour, 7 minutes and 48 seconds","8 hours","0 seconds","Disabled"
"ALLO-IBB-APP","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 18, 2026","4 seconds","110.95 MB","2 hours, 59 minutes and 25 seconds","8 hours","0 seconds","Disabled"
"ALLO-MGATE-APP","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 18, 2026","6 seconds","146.98 MB","3 hours, 38 minutes and 30 seconds","8 hours","0 seconds","Disabled"
"ALLO-MGATEPRXY","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 18, 2026","1 second","6.53 MB","4 hours, 23 minutes and 12 seconds","8 hours","0 seconds","Disabled"
"ALLO-SSL","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 18, 2026","2 seconds","5.29 MB","1 hour, 32 minutes and 43 seconds","8 hours","0 seconds","Disabled"
"ALLO-SSL-ADM","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 18, 2026","1 second","5.35 MB","2 hours, 56 minutes and 38 seconds","8 hours","0 seconds","Disabled"
"ALLO-VA","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 18, 2026","1 second","7.58 MB","2 hours, 47 minutes and 43 seconds","8 hours","0 seconds","Disabled"
"VFDS_RHEL6.3_R12_ALLO-PROD_APP_68","OK","192.168.191.26","FDS-VREP-RMP-26","","15 of 15","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 18, 2026","2 minutes and 4 seconds","57.23 MB","4 minutes and 58 seconds","30 minutes","0 seconds","Disabled"
"VFDS_RHEL6.3_R12_ALLO-PROD_CBR_69","OK","192.168.191.26","FDS-VREP-RMP-26","","7 of 7","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 18, 2026","3 seconds","15.45 MB","8 minutes and 22 seconds","1 hour","0 seconds","Disabled"
"VFDS_RHEL6.3_R12_ALLO-PROD_MIS_70","OK","192.168.191.26","FDS-VREP-RMP-26","","7 of 7","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 18, 2026","40 seconds","13.84 MB","27 minutes and 41 seconds","1 hour","0 seconds","Disabled"
"VFDS_RHEL6.3_R12_ALLO-PROD_WEB_67","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 18, 2026","1 second","6.38 MB","8 minutes and 41 seconds","1 hour","0 seconds","Disabled"
