"Virtual Machine","Status","Source","Replication Server","Protection Group","Configured Disks","Auto-replicate New Disks","Managed By","Quiescing","Network Compression","Encryption","Datastore","Storage Policy","Last Instance Sync Point","Last Sync Duration","Last Sync Size","Lag Time","RPO","Current RPO Violation","Points In Time"
"BJI-FDS-CHN1-PROD","OK","192.168.193.251","FDS-VREP-DCI-251","","3 of 3","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 18, 2026","6 seconds","200.47 MB","20 minutes and 7 seconds","1 hour","0 seconds","Disabled"
"BJI-FDS-CHN2.PROD","OK","192.168.193.251","FDS-VREP-DCI-251","","3 of 3","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 18, 2026","33 seconds","176.22 MB","10 minutes and 36 seconds","1 hour","0 seconds","Disabled"
"BJI-FDS-CHN3.PROD","OK","192.168.193.251","FDS-VREP-DCI-251","","3 of 3","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 18, 2026","9 seconds","11.16 MB","37 minutes and 5 seconds","1 hour","0 seconds","Disabled"
"BJI-FDS-LOS-SWIFT-PROD","OK","192.168.193.251","FDS-VREP-DCI-251","","4 of 4","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 18, 2026","30 seconds","32.73 MB","46 minutes and 33 seconds","1 hour","0 seconds","Disabled"
"BJI-FDS-NGINX-PROD","OK","192.168.193.251","FDS-VREP-DCI-251","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 18, 2026","1 second","4.98 MB","18 minutes and 23 seconds","1 hour","0 seconds","Disabled"
"BJI-FDS-T24JBOSSWEB-PROD","OK","192.168.193.251","FDS-VREP-DCI-251","","8 of 8","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 18, 2026","4 seconds","28.86 MB","9 minutes and 29 seconds","30 minutes","0 seconds","Disabled"
"BJI-FDS-T24TAFJ-PROD","OK","192.168.193.251","FDS-VREP-DCI-251","","15 of 15","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 18, 2026","8 seconds","4.05 MB","4 minutes and 40 seconds","30 minutes","0 seconds","Disabled"
"BJI_APJ_DWH_BUCKET_STORAGE_132","OK","192.168.193.251","FDS-VREP-DCI-251","","6 of 6","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 18, 2026","30 seconds","8.55 MB","20 minutes and 40 seconds","1 hour","0 seconds","Disabled"
"BJI_APJ_DWH_DB_131","OK","192.168.193.251","FDS-VREP-DCI-251","","16 of 16","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 18, 2026","6 seconds","4.2 MB","10 minutes and 43 seconds","30 minutes","0 seconds","Disabled"
"BJI_APJ_DWH_DB_CLICKHOUSE_133","OK","192.168.193.251","FDS-VREP-DCI-251","","3 of 3","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 18, 2026","4 seconds","5.59 MB","20 minutes and 46 seconds","30 minutes","0 seconds","Disabled"
"BJI_APJ_DWH_ETL_202","OK","192.168.193.251","FDS-VREP-DCI-251","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 18, 2026","1 second","560 KB","4 minutes and 54 seconds","1 hour","0 seconds","Disabled"
"BJI_APJ_DWH_SURROUNDING_APPS_203","OK","192.168.193.251","FDS-VREP-DCI-251","","3 of 3","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 18, 2026","2 seconds","9.28 MB","24 minutes and 28 seconds","1 hour","0 seconds","Disabled"
"BJI_APJ_DWH_TABLEAU_201","OK","192.168.193.251","FDS-VREP-DCI-251","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 18, 2026","18 seconds","146.84 MB","37 minutes and 15 seconds","1 hour","0 seconds","Disabled"
"BJI_PAC_ADMIN_PROXY_11","OK","192.168.193.251","FDS-VREP-DCI-251","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 18, 2026","28 seconds","23.59 MB","2 hours, 4 minutes and 45 seconds","8 hours","0 seconds","Disabled"
"BJI_PAC_APPS_COB_50","OK","192.168.193.251","FDS-VREP-DCI-251","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 18, 2026","1 second","4.07 MB","2 hours, 22 minutes and 53 seconds","8 hours","0 seconds","Disabled"
"BJI_PAC_APPS_COLLSYS_38","OK","192.168.193.251","FDS-VREP-DCI-251","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 18, 2026","2 seconds","35.42 MB","2 hours, 38 minutes and 45 seconds","8 hours","0 seconds","Disabled"
"BJI_PAC_APPS_COLLSYS_PBX_168","OK","192.168.193.251","FDS-VREP-DCI-251","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 18, 2026","25 seconds","11.91 MB","2 hours, 19 minutes and 24 seconds","8 hours","0 seconds","Disabled"
"BJI_PAC_APPS_IACSS_36","OK","192.168.193.251","FDS-VREP-DCI-251","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 18, 2026","2 seconds","45.36 MB","4 hours, 14 minutes and 41 seconds","8 hours","0 seconds","Disabled"
"BJI_PAC_EDC_40","OK","192.168.193.251","FDS-VREP-DCI-251","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 18, 2026","2 seconds","6.76 MB","2 hours, 6 minutes and 44 seconds","8 hours","0 seconds","Disabled"
"BJI_PAC_ELK_26","OK","192.168.193.251","FDS-VREP-DCI-251","","5 of 5","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 18, 2026","2 minutes and 29 seconds","5.6 GB","2 hours, 16 minutes and 25 seconds","8 hours","0 seconds","Disabled"
"BJI_PAC_FTP_44","OK","192.168.193.251","FDS-VREP-DCI-251","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 18, 2026","27 seconds","7.19 MB","2 hours, 29 minutes and 7 seconds","8 hours","0 seconds","Disabled"
"BJI_PAC_LOS_APPS_45","OK","192.168.193.251","FDS-VREP-DCI-251","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 18, 2026","10 seconds","7.21 MB","27 minutes and 58 seconds","8 hours","0 seconds","Disabled"
"BJI_PAC_LOS_CHANNELING_46","OK","192.168.193.251","FDS-VREP-DCI-251","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 18, 2026","2 seconds","7.22 MB","2 hours, 34 minutes and 46 seconds","8 hours","0 seconds","Disabled"
"BJI_PAC_MASTER_NODE_27","OK","192.168.193.251","FDS-VREP-DCI-251","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 18, 2026","30 seconds","999.12 MB","2 hours, 23 minutes and 31 seconds","8 hours","0 seconds","Disabled"
"BJI_PAC_MGATE_PROXY_13","OK","192.168.193.251","FDS-VREP-DCI-251","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 18, 2026","1 second","23.26 MB","37 minutes and 58 seconds","8 hours","0 seconds","Disabled"
"BJI_PAC_OB_APPS_53","OK","192.168.193.251","FDS-VREP-DCI-251","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 18, 2026","1 second","2.52 MB","1 hour, 56 minutes and 5 seconds","8 hours","0 seconds","Disabled"
"BJI_PAC_OB_MDW_39","OK","192.168.193.251","FDS-VREP-DCI-251","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 18, 2026","1 second","7.08 MB","2 hours, 18 minutes and 58 seconds","8 hours","0 seconds","Disabled"
"BJI_PAC_OB_WSO2_54","OK","192.168.193.251","FDS-VREP-DCI-251","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 18, 2026","1 second","4.43 MB","5 hours, 28 minutes and 39 seconds","8 hours","0 seconds","Disabled"
"BJI_PAC_RECONCILE_51","OK","192.168.193.251","FDS-VREP-DCI-251","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 18, 2026","2 seconds","9.27 MB","3 hours, 33 minutes and 17 seconds","8 hours","0 seconds","Disabled"
"BJI_PAC_REDIS_CACHE_20","OK","192.168.193.251","FDS-VREP-DCI-251","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 18, 2026","7 seconds","32.02 MB","3 hours, 42 minutes and 52 seconds","8 hours","0 seconds","Disabled"
"BJI_PAC_SSL_WEB_3","OK","192.168.193.251","FDS-VREP-DCI-251","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 18, 2026","2 seconds","59.76 MB","3 hours, 25 minutes and 51 seconds","8 hours","0 seconds","Disabled"
"BJI_PAC_WEB_ADMIN_COB_LOS_OB_49","OK","192.168.193.251","FDS-VREP-DCI-251","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 18, 2026","22 seconds","3.73 MB","3 hours, 11 minutes and 41 seconds","8 hours","0 seconds","Disabled"
"BJI_PAC_WEB_ADMIN_IBB_48","OK","192.168.193.251","FDS-VREP-DCI-251","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 18, 2026","5 seconds","6.88 MB","6 hours, 50 minutes and 44 seconds","8 hours","0 seconds","Disabled"
"BJI_PAC_WEB_ADMIN_IBMB_47","OK","192.168.193.251","FDS-VREP-DCI-251","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 18, 2026","2 seconds","7.46 MB","4 hours, 31 minutes and 21 seconds","8 hours","0 seconds","Disabled"
