"Virtual Machine","Status","Target","Replication Server","Protection Group","Configured Disks","Auto-replicate New Disks","Managed By","Quiescing","Network Compression","Encryption","Datastore","Storage Policy","Last Instance Sync Point","Last Sync Duration","Last Sync Size","Lag Time","RPO","Current RPO Violation","Points In Time"
"BMAS_FDS-APJ_APP_CBR-98","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 20, 2026","1 second","7.34 MB","43 minutes and 20 seconds","8 hours","0 seconds","Disabled"
"BMAS_FDS-APJ_ETL_DB_CBR.99","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 20, 2026","6 seconds","7.98 MB","?","5 minutes","0 seconds","Disabled"
"BMAS_PAC_APPS_37_DC","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 20, 2026","14 seconds","122.82 MB","19 minutes and 16 seconds","8 hours","0 seconds","Disabled"
"BMAS_PAC_COB_45_DC","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 20, 2026","2 seconds","3.85 MB","40 minutes and 23 seconds","8 hours","0 seconds","Disabled"
"BMAS_PAC_DB_19_DC","Incremental Sync","192.168.191.26","FDS-VREP-RMP-26","","7 of 7","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 20, 2026","5 seconds","31.5 MB","?","5 minutes","0 seconds","Disabled"
"BMAS_PAC_DB_SLAVE_22_DC","Incremental Sync (RPO Violation)","192.168.191.26","FDS-VREP-RMP-26","","8 of 8","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 20, 2026","32 minutes and 3 seconds","41.64 GB","5 hours, 9 minutes and 45 seconds","5 minutes","4 hours and 57 minutes","Disabled"
"BMAS_PAC_EDC_46_DC","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 20, 2026","3 seconds","6.42 MB","1 hour, 1 minute and 40 seconds","8 hours","0 seconds","Disabled"
"BMAS_PAC_FTP_62_DC","OK","192.168.191.26","FDS-VREP-RMP-26","","6 of 6","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 20, 2026","5 seconds","1.85 MB","52 minutes and 37 seconds","8 hours","0 seconds","Disabled"
"BMAS_PAC_IACSS_36_DC","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 20, 2026","2 seconds","20.81 MB","10 minutes and 42 seconds","8 hours","0 seconds","Disabled"
"BMAS_PAC_IGATE_35_DC","OK","192.168.191.26","FDS-VREP-RMP-26","","4 of 4","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 20, 2026","5 minutes and 57 seconds","1.35 GB","28 minutes and 39 seconds","8 hours","0 seconds","Disabled"
