"Virtual Machine","Status","Target","Replication Server","Protection Group","Configured Disks","Auto-replicate New Disks","Managed By","Quiescing","Network Compression","Encryption","Datastore","Storage Policy","Last Instance Sync Point","Last Sync Duration","Last Sync Size","Lag Time","RPO","Current RPO Violation","Points In Time"
"BMAS_FDS-APJ_APP_CBR-98","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 20, 2026","1 minute and 40 seconds","8.15 MB","2 hours, 59 minutes and 50 seconds","8 hours","0 seconds","Disabled"
"BMAS_FDS-APJ_ETL_DB_CBR.99","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 20, 2026","1 second","7.75 MB","?","5 minutes","0 seconds","Disabled"
"BMAS_PAC_APPS_37_DC","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 20, 2026","2 minutes and 45 seconds","678.7 MB","1 hour, 15 minutes and 57 seconds","8 hours","0 seconds","Disabled"
"BMAS_PAC_COB_45_DC","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 20, 2026","24 seconds","4.63 MB","2 hours, 49 minutes and 33 seconds","8 hours","0 seconds","Disabled"
"BMAS_PAC_DB_19_DC","OK","192.168.191.26","FDS-VREP-RMP-26","","7 of 7","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 20, 2026","42 seconds","74.24 MB","?","5 minutes","0 seconds","Disabled"
"BMAS_PAC_DB_SLAVE_22_DC","OK","192.168.191.26","FDS-VREP-RMP-26","","8 of 8","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 20, 2026","10 seconds","35.37 MB","?","5 minutes","0 seconds","Disabled"
"BMAS_PAC_EDC_46_DC","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 20, 2026","1 second","2.45 MB","6 minutes and 55 seconds","8 hours","0 seconds","Disabled"
"BMAS_PAC_FTP_62_DC","Incremental Sync (RPO Violation)","192.168.191.26","FDS-VREP-RMP-26","","6 of 6","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 20, 2026","5 seconds","1.85 MB","8 hours, 46 minutes and 10 seconds","8 hours","46 minutes","Disabled"
"BMAS_PAC_IACSS_36_DC","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 20, 2026","4 seconds","26.19 MB","2 hours, 25 minutes and 9 seconds","8 hours","0 seconds","Disabled"
"BMAS_PAC_IGATE_35_DC","OK","192.168.191.26","FDS-VREP-RMP-26","","4 of 4","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 20, 2026","5 minutes and 3 seconds","3.48 GB","4 hours, 3 minutes and 17 seconds","8 hours","0 seconds","Disabled"
"BMAS_PAC_LAKUPANDAI_38_DC","Not Active (RPO Violation)","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Apr 28, 2026","2 seconds","3.9 MB","1265 hours, 37 minutes and 37 seconds","8 hours","1161 hours and 39 minutes","Disabled"
"BMAS_PAC_LOS_59_DC","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 20, 2026","1 second","1.75 MB","1 hour, 45 minutes and 46 seconds","8 hours","0 seconds","Disabled"
"BMAS_PAC_MIDSERVICE_43","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 20, 2026","1 minute and 4 seconds","175.23 MB","3 hours, 41 minutes and 13 seconds","8 hours","0 seconds","Disabled"
"BMAS_PAC_RECONCILE_61_DC","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 20, 2026","1 second","1.34 MB","6 minutes and 52 seconds","8 hours","0 seconds","Disabled"
"BMAS_PAC_SCANNER_114_DC","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 20, 2026","4 seconds","65.38 MB","39 minutes and 36 seconds","8 hours","0 seconds","Disabled"
"BMAS_PAC_SSL_3_DC","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 20, 2026","2 seconds","4.16 MB","6 hours, 9 minutes and 45 seconds","8 hours","0 seconds","Disabled"
"BMAS_PAC_WEBADMIN_51_DC","OK","192.168.191.26","FDS-VREP-RMP-26","","5 of 5","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 20, 2026","3 seconds","5.12 MB","40 minutes and 12 seconds","8 hours","0 seconds","Disabled"
"BMAS_PAC_WSO2_42_DC","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 20, 2026","1 minute and 48 seconds","7.13 MB","39 minutes","8 hours","0 seconds","Disabled"
"DWH-KLSL-BUCKET.167","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","vsanDatastore-RMP","Datastore Default","Jun 20, 2026","3 seconds","21.95 MB","9 minutes and 50 seconds","8 hours","0 seconds","Disabled"
"DWH-KLSL-DB-DM.165","OK","192.168.191.26","FDS-VREP-RMP-26","","6 of 6","Enabled","VR","Disabled","Enabled","Disabled","vsanDatastore-RMP","Datastore Default","Jun 20, 2026","24 seconds","19.71 MB","?","5 minutes","0 seconds","Disabled"
"DWH-KLSL-DB.164","Incremental Sync","192.168.191.26","FDS-VREP-RMP-26","","11 of 11","Enabled","VR","Disabled","Enabled","Disabled","vsanDatastore-RMP","Datastore Default","Jun 20, 2026","1 minute and 42 seconds","61.09 MB","?","5 minutes","0 seconds","Disabled"
"DWH-KLSL-ENGINE.166","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","vsanDatastore-RMP","Datastore Default","Jun 20, 2026","11 seconds","49.97 MB","52 minutes and 13 seconds","8 hours","0 seconds","Disabled"
"DWH-KLSL-MANAGER.162.","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","vsanDatastore-RMP","Datastore Default","Jun 20, 2026","2 minutes and 47 seconds","900.49 MB","9 minutes and 9 seconds","8 hours","0 seconds","Disabled"
"DWH-KLSL-REPORT.163","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","vsanDatastore-RMP","Datastore Default","Jun 20, 2026","2 seconds","9.19 MB","45 minutes and 50 seconds","8 hours","0 seconds","Disabled"
"FDBG_FDS_T24_CHN1-134","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 20, 2026","6 seconds","63.19 MB","15 minutes and 49 seconds","1 hour","0 seconds","Disabled"
"FDBG_FDS_T24_CHN2-135","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 20, 2026","2 minutes and 3 seconds","48.85 MB","6 minutes and 11 seconds","1 hour","0 seconds","Disabled"
"FDBG_FDS_T24_LB-143","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 20, 2026","2 seconds","3.61 MB","22 minutes and 6 seconds","1 hour","0 seconds","Disabled"
"FDBG_FDS_T24_SIGVER-144","Incremental Sync","192.168.191.26","FDS-VREP-RMP-26","","9 of 9","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 20, 2026","28 seconds","185.66 MB","?","30 minutes","0 seconds","Disabled"
"FDBG_FDS_T24_SWFLOS-145","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 20, 2026","3 seconds","12.27 MB","?","1 hour","0 seconds","Disabled"
"FDBG_FDS_T24_TAFJ1-130","OK","192.168.191.26","FDS-VREP-RMP-26","","4 of 4","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 20, 2026","9 seconds","14.97 MB","1 minute and 12 seconds","30 minutes","0 seconds","Disabled"
"FDBG_FDS_T24_TAFJ2-131","OK","192.168.191.26","FDS-VREP-RMP-26","","3 of 3","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 20, 2026","2 seconds","952 KB","12 minutes and 35 seconds","30 minutes","0 seconds","Disabled"
"FDBG_FDS_T24_WEB-138","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 20, 2026","4 seconds","1.79 MB","?","1 hour","0 seconds","Disabled"
"FDBG_PAC_ELK-126-old","OK","192.168.191.26","FDS-VREP-RMP-26","","5 of 5","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 20, 2026","15 seconds","16.12 MB","1 hour, 58 minutes and 23 seconds","8 hours","0 seconds","Disabled"
