"Virtual Machine","Status","Source","Replication Server","Protection Group","Configured Disks","Auto-replicate New Disks","Managed By","Quiescing","Network Compression","Encryption","DataSets replication","Datastore","Storage Policy","Last Instance Sync Point","Last Sync Duration","Last Sync Size","Lag Time","RPO","Current RPO Violation","Points In Time"
"ALLO-CTL","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 17, 2026","2 seconds","32.74 MB","10 minutes and 35 seconds","8 hours","0 seconds","Disabled"
"ALLO-DB","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 17, 2026","3 seconds","2.52 MB","1 minute and 33 seconds","5 minutes","0 seconds","Disabled"
"ALLO-DB-CACHE","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 17, 2026","1 second","256 KB","1 minute and 17 seconds","5 minutes","0 seconds","Disabled"
"ALLO-ELK","OK","192.168.191.26","FDS-VREP-RMP-26","","3 of 3","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 17, 2026","2 minutes and 15 seconds","278.45 MB","3 minutes and 43 seconds","8 hours","0 seconds","Disabled"
"ALLO-IBB-ADM","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 17, 2026","1 second","6.91 MB","9 minutes and 45 seconds","8 hours","0 seconds","Disabled"
"ALLO-IBB-APP","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 17, 2026","2 seconds","33.07 MB","13 minutes and 1 second","8 hours","0 seconds","Disabled"
"ALLO-MGATE-APP","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 17, 2026","5 seconds","33.48 MB","1 hour, 30 minutes and 56 seconds","8 hours","0 seconds","Disabled"
"ALLO-MGATEPRXY","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 17, 2026","7 seconds","9.51 MB","16 minutes and 41 seconds","8 hours","0 seconds","Disabled"
"ALLO-SSL","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 17, 2026","1 second","6.78 MB","2 hours, 52 minutes and 32 seconds","8 hours","0 seconds","Disabled"
"ALLO-SSL-ADM","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 17, 2026","1 second","3.34 MB","13 minutes and 18 seconds","8 hours","0 seconds","Disabled"
"ALLO-VA","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 17, 2026","3 seconds","5.29 MB","1 hour, 49 minutes and 13 seconds","8 hours","0 seconds","Disabled"
"VFDS_RHEL6.3_R12_ALLO-PROD_APP_68","OK","192.168.191.26","FDS-VREP-RMP-26","","15 of 15","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 17, 2026","19 seconds","80.53 MB","7 minutes and 17 seconds","30 minutes","0 seconds","Disabled"
"VFDS_RHEL6.3_R12_ALLO-PROD_CBR_69","OK","192.168.191.26","FDS-VREP-RMP-26","","7 of 7","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 17, 2026","5 seconds","31.52 MB","4 minutes and 34 seconds","1 hour","0 seconds","Disabled"
"VFDS_RHEL6.3_R12_ALLO-PROD_MIS_70","OK","192.168.191.26","FDS-VREP-RMP-26","","7 of 7","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 17, 2026","14 seconds","31.29 MB","19 minutes and 16 seconds","1 hour","0 seconds","Disabled"
"VFDS_RHEL6.3_R12_ALLO-PROD_WEB_67","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 17, 2026","3 seconds","2.69 MB","25 minutes and 32 seconds","1 hour","0 seconds","Disabled"
