"Virtual Machine","Status","Source","Replication Server","Protection Group","Configured Disks","Auto-replicate New Disks","Managed By","Quiescing","Network Compression","Encryption","Datastore","Storage Policy","Last Instance Sync Point","Last Sync Duration","Last Sync Size","Lag Time","RPO","Current RPO Violation","Points In Time"
"BJI-FDS-CHN1-PROD","OK","192.168.193.251","FDS-VREP-DCI-251","","3 of 3","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 21, 2026","4 seconds","53.95 MB","37 minutes and 2 seconds","1 hour","0 seconds","Disabled"
"BJI-FDS-CHN2.PROD","OK","192.168.193.251","FDS-VREP-DCI-251","","3 of 3","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 21, 2026","10 seconds","59.3 MB","28 minutes and 20 seconds","1 hour","0 seconds","Disabled"
"BJI-FDS-CHN3.PROD","OK","192.168.193.251","FDS-VREP-DCI-251","","3 of 3","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 21, 2026","2 seconds","6.91 MB","14 minutes and 25 seconds","1 hour","0 seconds","Disabled"
"BJI-FDS-LOS-SWIFT-PROD","OK","192.168.193.251","FDS-VREP-DCI-251","","4 of 4","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 21, 2026","29 seconds","12.96 MB","14 minutes and 55 seconds","1 hour","0 seconds","Disabled"
"BJI-FDS-NGINX-PROD","OK","192.168.193.251","FDS-VREP-DCI-251","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 21, 2026","1 second","5.94 MB","26 minutes and 13 seconds","1 hour","0 seconds","Disabled"
"BJI-FDS-T24JBOSSWEB-PROD","OK","192.168.193.251","FDS-VREP-DCI-251","","8 of 8","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 21, 2026","4 seconds","26.67 MB","18 minutes and 59 seconds","30 minutes","0 seconds","Disabled"
"BJI-FDS-T24TAFJ-PROD","OK","192.168.193.251","FDS-VREP-DCI-251","","15 of 15","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 21, 2026","1 minute and 7 seconds","334.02 MB","15 minutes and 30 seconds","30 minutes","0 seconds","Disabled"
"BJI_APJ_DWH_BUCKET_STORAGE_132","OK","192.168.193.251","FDS-VREP-DCI-251","","6 of 6","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 21, 2026","4 seconds","8.32 MB","2 minutes and 14 seconds","1 hour","0 seconds","Disabled"
"BJI_APJ_DWH_DB_131","Incremental Sync (RPO Violation)","192.168.193.251","FDS-VREP-DCI-251","","16 of 16","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 21, 2026","1 hour, 8 minutes and 29 seconds","134.36 GB","1 hour, 42 minutes and 44 seconds","30 minutes","1 hour and 8 minutes","Disabled"
"BJI_APJ_DWH_DB_CLICKHOUSE_133","OK","192.168.193.251","FDS-VREP-DCI-251","","3 of 3","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 21, 2026","2 seconds","2.63 MB","3 minutes and 35 seconds","30 minutes","0 seconds","Disabled"
"BJI_APJ_DWH_ETL_202","OK","192.168.193.251","FDS-VREP-DCI-251","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 21, 2026","1 second","1.45 MB","1 minute and 57 seconds","1 hour","0 seconds","Disabled"
"BJI_APJ_DWH_SURROUNDING_APPS_203","OK","192.168.193.251","FDS-VREP-DCI-251","","3 of 3","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 21, 2026","5 seconds","41.54 MB","48 seconds","1 hour","0 seconds","Disabled"
"BJI_APJ_DWH_TABLEAU_201","OK","192.168.193.251","FDS-VREP-DCI-251","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 21, 2026","18 seconds","93.66 MB","35 minutes and 3 seconds","1 hour","0 seconds","Disabled"
"BJI_PAC_ADMIN_PROXY_11","OK","192.168.193.251","FDS-VREP-DCI-251","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 21, 2026","2 seconds","27.28 MB","50 minutes and 44 seconds","8 hours","0 seconds","Disabled"
"BJI_PAC_APPS_COB_50","OK","192.168.193.251","FDS-VREP-DCI-251","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 21, 2026","2 seconds","9.22 MB","4 hours, 30 minutes and 18 seconds","8 hours","0 seconds","Disabled"
"BJI_PAC_APPS_COLLSYS_38","OK","192.168.193.251","FDS-VREP-DCI-251","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 21, 2026","9 seconds","14.18 MB","5 hours and 4 minutes","8 hours","0 seconds","Disabled"
"BJI_PAC_APPS_COLLSYS_PBX_168","OK","192.168.193.251","FDS-VREP-DCI-251","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 21, 2026","2 seconds","14.52 MB","5 hours, 5 minutes and 4 seconds","8 hours","0 seconds","Disabled"
"BJI_PAC_APPS_IACSS_36","OK","192.168.193.251","FDS-VREP-DCI-251","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 21, 2026","1 second","25.13 MB","4 hours, 36 minutes and 10 seconds","8 hours","0 seconds","Disabled"
"BJI_PAC_EDC_40","OK","192.168.193.251","FDS-VREP-DCI-251","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 21, 2026","2 seconds","7.5 MB","4 hours, 50 minutes and 8 seconds","8 hours","0 seconds","Disabled"
"BJI_PAC_ELK_26","OK","192.168.193.251","FDS-VREP-DCI-251","","5 of 5","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 21, 2026","4 minutes and 14 seconds","5.55 GB","2 hours, 9 minutes and 53 seconds","8 hours","0 seconds","Disabled"
"BJI_PAC_FTP_44","OK","192.168.193.251","FDS-VREP-DCI-251","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 21, 2026","1 second","7.15 MB","4 hours, 36 minutes and 26 seconds","8 hours","0 seconds","Disabled"
"BJI_PAC_LOS_APPS_45","OK","192.168.193.251","FDS-VREP-DCI-251","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 21, 2026","1 second","3.04 MB","3 hours, 26 minutes and 6 seconds","8 hours","0 seconds","Disabled"
