"Virtual Machine","Status","Source","Replication Server","Protection Group","Configured Disks","Auto-replicate New Disks","Managed By","Quiescing","Network Compression","Encryption","DataSets replication","Datastore","Storage Policy","Last Instance Sync Point","Last Sync Duration","Last Sync Size","Lag Time","RPO","Current RPO Violation","Points In Time"
"ALLO-CTL","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 22, 2026","2 minutes and 42 seconds","533.91 MB","12 minutes and 28 seconds","8 hours","0 seconds","Disabled"
"ALLO-DB","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 22, 2026","55 seconds","2.44 MB","1 minute and 36 seconds","5 minutes","0 seconds","Disabled"
"ALLO-DB-CACHE","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 22, 2026","2 seconds","184 KB","41 seconds","5 minutes","0 seconds","Disabled"
"ALLO-ELK","OK","192.168.191.26","FDS-VREP-RMP-26","","3 of 3","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 22, 2026","10 seconds","104.53 MB","9 minutes and 45 seconds","8 hours","0 seconds","Disabled"
"ALLO-IBB-ADM","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 22, 2026","1 second","12.1 MB","2 hours, 39 minutes and 8 seconds","8 hours","0 seconds","Disabled"
"ALLO-IBB-APP","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 22, 2026","8 seconds","56.11 MB","18 minutes and 10 seconds","8 hours","0 seconds","Disabled"
"ALLO-MGATE-APP","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 22, 2026","13 seconds","68.05 MB","18 minutes and 27 seconds","8 hours","0 seconds","Disabled"
"ALLO-MGATEPRXY","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 22, 2026","2 seconds","9.49 MB","1 hour, 9 minutes and 26 seconds","8 hours","0 seconds","Disabled"
"ALLO-SSL","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 22, 2026","0 seconds","2.38 MB","9 minutes and 28 seconds","8 hours","0 seconds","Disabled"
"ALLO-SSL-ADM","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 22, 2026","3 seconds","4.91 MB","18 minutes and 43 seconds","8 hours","0 seconds","Disabled"
"ALLO-VA","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 22, 2026","1 second","9.59 MB","3 hours, 6 minutes and 7 seconds","8 hours","0 seconds","Disabled"
"VFDS_RHEL6.3_R12_ALLO-PROD_APP_68","OK","192.168.191.26","FDS-VREP-RMP-26","","15 of 15","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 22, 2026","1 minute and 43 seconds","45.88 MB","2 minutes and 17 seconds","30 minutes","0 seconds","Disabled"
"VFDS_RHEL6.3_R12_ALLO-PROD_CBR_69","OK","192.168.191.26","FDS-VREP-RMP-26","","7 of 7","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 22, 2026","11 seconds","94.52 MB","21 minutes and 45 seconds","1 hour","0 seconds","Disabled"
"VFDS_RHEL6.3_R12_ALLO-PROD_MIS_70","OK","192.168.191.26","FDS-VREP-RMP-26","","7 of 7","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 22, 2026","4 seconds","26.59 MB","30 minutes and 21 seconds","1 hour","0 seconds","Disabled"
"VFDS_RHEL6.3_R12_ALLO-PROD_WEB_67","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 22, 2026","2 seconds","9.35 MB","21 minutes and 28 seconds","1 hour","0 seconds","Disabled"
